Sample ID#,Sampling Station,Lattitude,Longitude,Date,Conc. Of  pH,"Conc. Of TDS
 (mg/L)",EC(µs/cm),Conc. Of bicarbonate (mg/L),Conc. Of phosphate (mg/L),Conc. Of chloride (mg/L),Conc. Of sulfate (mg/L),Conc. Of nitrate (mg/L),Conc. Of arsenic (mg/L),"Conc. Of iron 
(mg/L)",Conc. Of manganese (mg/L),Conc. Of sodium (mg/L),Conc. Of potassium(mg/L),"Conc. Of calcium
(mg/L)","Conc. Of magnesium 
(mg/L)"
M-1,kathapara,N24°31´54,E88°14´50,2024-01-21,7.1,210.0,398.0,311.7492,0.38,16.26,<1,<0.03,0.005,0.32,1.34,63.99,12.73,127.4,61.06
M-2,Baghermor,N24°32´14,E88°15´07,2024-01-21,7.17,180.0,211.0,356.2848,0.79,15.32,<1,<0.03,0.003,0.75,1.07,52.35,11.9,98.55,53.11
M-3,Debi Nogor,N24°31´35,E88°15´56,2024-01-21,7.14,170.0,263.0,311.7492000000001,0.74,14.29,<1,<0.03,0.25,0.25,1.53,55.01,9.32,126.18,61.63
M-4,Hajirtola,N24°31´14,E88°15´49,2024-01-21,7.31,180.0,281.0,311.74919999999986,0.52,15.37,<1,<0.03,0.007,1.88,1.24,62.88,21.88,93.38,60.83
M-5,kabatola,N24°31´11,E88°15´32,2024-01-21,7.42,180.0,155.0,356.28480000000013,0.43,14.79,<1,<0.03,0.006,1.19,1.44,54.11,9.15,82.81,56.44
M-6,Nadarmondoler gram,N24°31´32,E88°15´33,2024-01-21,7.63,160.0,473.0,311.7492000000001,0.8,13.78,<1,<0.03,0.002,2.37,1.57,51.44,10.21,78.29,47.16
M-7,Baluachuri,N24°31´25,E88°14´59,2024-01-21,7.44,190.0,154.0,400.8203999999998,0.43,12.98,<1,<0.03,0.008,0.26,1.36,38.64,8.79,88.2,58.79
M-8,Chataidubi,N24°32´24,E88°14´44,2024-01-21,7.25,230.0,186.0,311.7492000000001,0.34,11.9,<1,<0.03,0.02,2.36,1.99,44.58,13.46,81.79,55.04
M-9,Chataidubi,N24°32´20,E88°14´40,2024-01-21,7.41,150.0,150.0,311.7492000000001,0.32,12.89,<1,<0.03,0.004,1.33,1.13,45.01,13.43,16.19,24.69
M-10,Hayatmor,N24°323´1,E88°13´46,2024-01-21,7.33,200.0,,356.2847999999999,0.81,12.36,<1,<0.03,0.007,0.97,2.79,42.22,8.88,92.27,47.9
M-11,Chotomora Pagla,N24°33´10,E88°12´47,2024-01-21,7.35,190.0,162.0,311.7491999999997,0.91,11.9,<1,<0.03,0.003,3.28,1.75,37.3,8.09,128.83,55.21
M-12,Morapagla,N24°33´13,E88°12´42,2024-01-22,7.29,180.0,245.0,400.8204000000002,0.57,10.92,<1,<0.03,0.002,0.17,1.39,36.61,11.64,160.98,62.05
M-13,Momin Mor,N24°33´14,E88°12´25,2024-01-22,7.32,200.0,181.0,400.8204000000002,0.34,11.78,<1,<0.03,0.008,0.1,2.27,34.96,10.74,72.23,55.38
M-14,Kali Nogor,N24°33´23,E88°13´5,2024-01-22,7.4,200.0,151.0,400.8204000000002,0.65,12.98,<1,<0.03,0.006,4.59,1.61,39.28,9.35,100.42,59.83
M-15,Morapagla,N24°33´24,E88°13´31,2024-01-22,7.51,190.0,137.0,445.356,0.79,13.79,<1,<0.03,0.002,0.82,0.44,48.13,7.16,140.72,61.56
M-16,Bagchor,N24°33´30,E88°13´32,2024-01-22,7.39,190.0,227.0,400.8204000000002,0.44,14.53,<1,<0.03,0.005,2.38,0.52,61.31,10.71,84.78,58.2
M-17,Mollan Mor,N24°33´38,E88°11´59,2024-01-22,7.41,180.0,142.0,356.2847999999995,0.68,12.98,<1,<0.03,0.004,1.13,0.76,68.69,9.95,72.34,48.93
M-18,Mollan Mor,N24°33´38,E88°11´57,2024-01-22,7.62,190.0,163.0,400.8204000000002,0.79,13.45,<1,<0.03,0.006,0.14,0.49,72.14,8.42,116.5,56.61
M-19,Kali Nogor,N24°34´16,E88°12´22,2024-01-22,7.51,200.0,220.0,445.356,0.11,12.67,<1,<0.03,0.002,2.53,0.58,56.59,16.24,124.86,56.17
M-20,English Mor,N24°34´37,E88°12´20,2024-01-22,7.7,170.0,162.0,356.2848000000003,0.21,11.98,<1,<0.03,0.004,0.18,0.71,74.56,13.69,79.94,57.41
M-21,"UsufNogor, Pulpara",N24°35´36,E88°18´22,2024-01-22,7.69,200.0,176.0,311.7491999999997,0.45,12.54,<1,<0.03,0.025,0.36,0.89,62.04,7.89,82.36,40.17
M-22,Hosendanga,N24°35´54,E88°19´09,2024-01-23,7.62,160.0,184.0,400.8203999999994,0.55,11.67,<1,<0.03,0.006,3.03,0.76,43.5,9.08,82.89359999999999,20.627999999999997
M-23,Radhunidanga,N24°36´43,E88°19´13,2024-01-23,7.55,190.0,193.0,311.7492000000013,0.31,12.62,<1,<0.03,0.004,0.12,0.8,41.41,12.6,80.0856,14.4432
M-24,Ersad Nogor,N24°37´12,E88°19´54,2024-01-23,7.52,170.0,190.0,311.7491999999997,0.85,13.42,<1,<0.03,0.002,0.4,0.3,46.33,7.23,82.89359999999999,13.888799999999998
M-25,Jamtola,N24°37´13,E88°21´19,2024-01-23,7.71,170.0,230.0,222.678,0.5,14.35,<1,<0.03,0.007,0.43,0.41,49.82,17.64,92.3616,18.7272
M-26,Gusira Pukur,N24°37´32,E88°22´59,2024-01-23,7.6,160.0,201.0,356.2847999999987,1.32,15.83,<1,<0.03,0.006,0.28,0.55,58.23,12.73,77.65199999999999,13.579199999999998
M-27,Mohipur bazar,N24°41´38,E88°16´38,2024-01-25,7.81,170.0,133.0,267.2136000000006,1.75,13.95,<1,<0.03,0.005,1.58,0.87,46.27,11.9,70.6176,12.2112
M-28,Mohipur bazar,N24°41´45,E88°16´43,2024-01-25,7.51,160.0,172.0,267.213600000001,1.25,13.11,<1,<0.03,0.007,0.17,0.75,50.83,9.32,73.6848,14.832
M-29,Orunbari,N24°41´46,E88°16´44,2024-01-25,7.72,190.0,187.0,222.678,1.08,14.31,<1,<0.03,0.006,0.66,0.6,56.45,21.88,85.13279999999999,18.503999999999998
M-30,Orunbari Kamarpara,N24°41´47,E88°16´45,2024-01-25,7.5,190.0,126.0,356.284799999999,1.19,13.9,<1,<0.03,0.002,0.14,1.46,49.31,9.15,82.51199999999999,15.876
M-31,Orunbari,N24°41´48,E88°16´46,2024-01-25,7.42,200.0,129.0,311.7492000000013,2.37,13.9,<1,<0.03,0.004,0.41,0.92,46.67,10.21,81.0792,15.674399999999999
M-32,Behula,N24°41´49,E88°16´47,2024-01-25,7.81,180.0,121.0,311.7491999999997,1.26,11.58,<1,<0.03,0.07,0.38,1.16,35.92,8.79,100.35,28.67142857142857
M-33,Behula,N24°41´50,E88°16´48,2024-01-25,7.32,210.0,136.0,356.2848000000003,3.36,11.01,<1,<0.03,0.01,0.21,0.6,40.79,13.46,124.78,35.651428571428575
M-34,Behula,N24°41´9,E88°16´39,2024-01-25,7.61,200.0,143.0,356.2847999999987,1.33,11.49,<1,<0.03,0.011,0.68,0.77,41.86,13.43,82.66,23.617142857142856
M-35,Mohipur ,N24°41´48,E88°16´30,2024-01-25,7.72,200.0,242.0,267.2136000000006,0.97,11.19,<1,<0.03,0.008,0.61,1.19,38.49,8.88,101.17,28.905714285714286
M-36,Gobratola,N24°41´27,E88°17´17,2024-01-25,7.6,200.0,170.0,356.2848000000003,3.28,11.03,<1,<0.03,0.014,0.34,0.78,33.63,8.09,138.25,39.5
M-37,Kajipara,N24°33´30,E88°16´30,2024-01-28,7.8,140.0,181.0,222.678,1.17,9.18,<1,<0.03,0.013,0.2,1.37,32.64,11.64,87.49,24.997142857142855
M-38,Kajipara,N24°33´31,E88°17´38,2024-01-28,7.51,200.0,139.0,311.7491999999997,2.1,10.47,<1,<0.03,0.016,0.34,0.6,30.74,10.74,109.59,31.31142857142857
M-39,Kajipara,N24°33´34,E88°17´27,2024-01-28,7.32,210.0,151.0,400.8204000000002,4.59,11.69,<1,<0.03,0.011,0.21,0.53,35.41,9.35,110.08,31.451428571428572
M-40,Kajipara,N24°33´31,E88°17´09,2024-01-28,7.41,190.0,126.0,311.7492000000005,1.82,12.84,<1,<0.03,0.025,0.46,0.55,44.76,7.16,135.06,38.58857142857143
M-41,Kajipara,N24°33´29,E88°16´52,2024-01-28,7.4,210.0,345.0,309.25520639999996,1.38,13.63,<1,<0.03,0.003,0.32,0.34,57.52,10.71,109.82879999999999,16.9848
M-42,Menipara,N24°58´01,E88°25´09,2023-10-10,7.43,200.0,214.0,353.43452160000004,2.13,12.47,<1,<0.03,0.002,0.75,0.66,63.95,9.95,86.9904,15.818399999999999
M-43,Jhapaipara,N24°57´09,E88°26´01,2023-10-10,7.2,190.0,754.0,309.2552064000001,1.14,12.58,<1,<0.03,0.007,0.25,0.1,68.38,8.42,84.9456,15.3504
M-44,Jannatpara,N24°57´10,E88°25´06,2023-10-10,7.42,200.0,150.0,309.25520639999985,2.53,11.79,<1,<0.03,0.011,0.13,0.14,52.45,16.24,90.576,15.66
M-45,Nomosongkorbati,N24°57´09,E88°26´00,2023-10-10,7.3,210.0,345.0,353.43452160000015,2.18,10.83,<1,<0.03,0.009,0.19,0.63,69.34,13.69,81.4248,17.517599999999998
M-46,Rajarampur,N24°57´06,E88°26´05,2023-10-10,7.41,220.0,230.0,309.2552064000001,3.36,11.94,<1,<0.03,0.004,0.37,0.16,58.12,7.89,66.7296,15.1848
M-47,Madrasapara,N24°57´03,E88°26´05,2023-10-10,7.35,230.0,241.0,397.6138367999998,3.03,10.97,<1,<0.03,0.003,0.26,0.46,39.32,9.08,77.4576,14.846400000000001
M-48,Jalibagicha,N24°57´07,E88°26´09,2023-10-10,7.52,200.0,137.0,309.2552064000001,2.12,11.48,<1,<0.03,0.006,0.36,0.3,38.76,12.6,71.7696,14.3352
M-49,Derajtulla,N24°57´06,E88°26´07,2023-10-10,7.34,210.0,155.0,309.2552064000001,1.4,12.93,<1,<0.03,0.009,0.33,0.27,41.93,7.23,72.468,15.170399999999999
M-50,Jorgachi,N24°58´07,E88°26´06,2023-10-10,7.42,210.0,157.0,353.4345215999999,2.43,13.43,<1,<0.03,0.006,0.47,0.28,45.29,17.64,70.488,14.212799999999998
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Maximum,,,,,7.81,230.0,,445.356,1.75,16.26,0,0,0.25,4.59,2.79,74.56,21.88,160.98,62.05
Minimum,,,,,7.1,150.0,,222.678,0.11,10.92,0,0,0.002,0.1,0.3,34.96,7.16,16.19,12.2112
Average,,,,,7.464333333333333,183.33333333333334,,342.9241200000001,0.6766666666666666,13.420666666666667,,,0.014133333333333338,1.139,1.1123333333333334,51.466333333333324,11.505333333333333,92.56178666666666,42.69532
STD. Dev.,,,,,0.18182377473111505,17.485626280942345,,57.47538301637295,0.3671449336418121,1.3175550327663037,,,0.04481897176291593,1.1653454423474603,0.5974871710256461,10.649105671801525,3.779772601564847,27.13050469217687,19.36130810318566
