,CV_Mean_R2,CV_Std_R2,MAE,MSE,R2
STACKING_LINEAR_WITH_RIDGE,0.08114786280985027,0.39235143553156965,0.4915278456779977,0.38113101051323633,0.5769650078149308
STACKING_LINEAR_WITH_SVR,0.8202420578586839,0.14037461719433664,0.20263394236120716,0.10540573839884168,0.8830052803633861
STACKING_LINEAR_WITH_BAYESIAN,0.013653951204635705,0.2570659102889316,0.6188472546768863,0.5564237230626335,0.3823994929711616
STACKING_LINEAR_WITH_RF,0.7412885041819706,0.13641564010491827,0.38149867423036443,0.48108517246187854,0.4660212458212042
STACKING_LINEAR_WITH_GB,0.7403989469726854,0.22284116944290913,0.39785702235077947,0.6151375029735181,0.3172303444615462
STACKING_LINEAR_WITH_KNN,-0.18967007949280196,0.6152441993990585,0.4782841152104304,0.44086448191107597,0.5106640564125663
STACKING_LINEAR_WITH_RIDGE_SVR,0.8060861884495594,0.16578186312572904,0.23564471401532494,0.11561620315310045,0.8716722117901748
STACKING_LINEAR_WITH_RIDGE_BAYESIAN,0.0028232212334483365,0.40555794857766025,0.46319680892180926,0.34862421186012976,0.6130458118819118
STACKING_LINEAR_WITH_RIDGE_RF,0.6950775944132078,0.19141781953465106,0.41357979741768097,0.5438582520108196,0.3963464923009924
STACKING_LINEAR_WITH_RIDGE_GB,0.741492443078657,0.22392272287981663,0.39361934903042595,0.6072944117699952,0.32593575529001984
STACKING_LINEAR_WITH_RIDGE_KNN,0.043408320527490815,0.33674010587208303,0.4465410643288499,0.3449588970617359,0.6171141148389616
STACKING_LINEAR_WITH_SVR_BAYESIAN,0.7968507554068434,0.20202393957943895,0.23082739368615476,0.11603845100808481,0.8712035393045827
STACKING_LINEAR_WITH_SVR_RF,0.7940760634420061,0.183496536646778,0.18270386059870736,0.07379073488701164,0.9180962396257877
STACKING_LINEAR_WITH_SVR_GB,0.7493940991688145,0.18938315036845038,0.20487598449786906,0.12769074900473268,0.8582701131178442
STACKING_LINEAR_WITH_SVR_KNN,0.8797707257333997,0.10028027564038866,0.2658831549168096,0.12415320325260841,0.8621965992822447
STACKING_LINEAR_WITH_BAYESIAN_RF,0.6804221214292281,0.18008578432523156,0.40592536422881953,0.5351097460096526,0.4060568650225691
STACKING_LINEAR_WITH_BAYESIAN_GB,0.7264406962621415,0.2285138507805382,0.414076837933163,0.6502596163434062,0.2782466812457246
STACKING_LINEAR_WITH_BAYESIAN_KNN,-0.01807989983070355,0.4145305385889233,0.47008226525872154,0.40039360328386947,0.5555845623580897
STACKING_LINEAR_WITH_RF_GB,0.7561295657797535,0.24725022713177994,0.3856244167347953,0.552183385800526,0.38710604004042837
STACKING_LINEAR_WITH_RF_KNN,0.8248330568926617,0.13802973996221493,0.42849202782604756,0.5805840701515368,0.35558280275175524
STACKING_LINEAR_WITH_GB_KNN,0.6975074871183317,0.25769453052464775,0.408623692435632,0.6231564113204462,0.30832978602808925
